,XGBoost_Gain,RandomForest,Permutation,LinearRegression,Correlation,综合得分
SOIL_silt_0.5cm_mean_0.01_deg,0.3947942545278306,1.0,0.81930065576197,0.09269551170026673,1.0,0.6613580843980135
SOIL_silt_30.60cm_mean_0.01_deg,1.0,0.5757989366301676,0.2884094645564955,0.09639850992529807,0.9880664376131058,0.5897346697450134
WORLDCLIM_BIO4_temperature_seasonality,0.10425786607019916,0.4806112358492857,1.0,0.06925127775056471,0.520248095968553,0.4348736951277205
SOIL_sand_15.30cm_mean_0.01_deg,0.05127041364173298,0.04338320270415096,0.09697886482330019,0.9856593797014048,0.8418635862689401,0.4038310894279058
SOIL_silt_60.100cm_mean_0.01_deg,0.2531142641541732,0.22317469052665384,0.2675532208040306,0.2727540914380222,0.978817465813689,0.3990827465473138
SOIL_silt_15.30cm_mean_0.01_deg,0.05507732449082929,0.06487584935038587,0.08179337052730239,0.6397195251192891,0.9881144238413428,0.3659160986658299
SOIL_silt_100.200cm_mean_0.01_deg,0.021304065820568863,0.0789788348356242,0.08546972762490204,0.5411934708150451,0.9590627557299014,0.3372017709652083
SOIL_ocd_60.100cm_mean_0.01_deg,0.1677721850816965,0.36992787995883375,0.4267633404177126,0.013838444630244518,0.6733821315131269,0.33033679632032287
SOIL_sand_100.200cm_mean_0.01_deg,0.01569455878862027,0.044247480714433164,0.08474052986467843,0.7889469525595643,0.6747829318679154,0.3216824907590423
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m3,0.014594731367681423,0.011644288734746776,0.10782866601630497,0.9813871910585863,0.4318369175226874,0.30945835894000134
SOIL_silt_5.15cm_mean_0.01_deg,0.20296333907396727,0.054854899109155954,0.07512421714989029,0.17625041805725666,0.9995609602799242,0.3017507667340389
SOIL_ocd_100.200cm_mean_0.01_deg,0.12590296779281113,0.32261626221135825,0.25386438571521697,0.05359248093276863,0.7294465675801286,0.29708453284645675
MODIS_2000.2020_monthly_mean_surface_reflectance_band_04_._month_m5,0.0481055543852144,0.04006156260167914,0.04498083962806244,1.0,0.23277494886985217,0.27318458109696164
SOIL_sand_5.15cm_mean_0.01_deg,0.030838586253818422,0.053772365902066334,0.050472864303547194,0.2681062146064036,0.9028463099758298,0.26120726820833307
SOIL_sand_30.60cm_mean_0.01_deg,0.01941989210622986,0.03174671415644112,0.10458511249528481,0.2652831233885325,0.7413502611300056,0.23247702065529877
SOIL_sand_60.100cm_mean_0.01_deg,0.015421836972187452,0.026755301874993465,0.09695290065924285,0.3174320066632949,0.6985848085714021,0.23102937094822415
